TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
671.5261,641.171,432.734,-581.818,3666.25,4130.0,-105.0,-107.92,-159.6,92.72
671.5761,642.086,438.346,-577.182,3071.25,1610.0,140.0,-104.88,-153.52,98.8
671.6261,642.208,431.087,-583.526,3228.75,1435.0,-1006.25,-112.48,-159.6,106.4
671.6761,652.334,442.189,-590.846,2030.0,2423.75,-708.75,-106.4,-144.4,101.84
671.7261,660.63,433.588,-587.491,1513.75,3701.25,708.75,-98.8,-165.68,104.88
671.7761,638.304,415.654,-590.724,315.0,1662.5,1295.0,-107.92,-159.6,86.64
671.8261,650.931,423.706,-595.421,1986.25,-341.25,-446.25,-104.88,-159.6,91.2
671.8761,618.235,430.721,-607.377,1732.5,-3596.25,-516.25,-110.96,-153.52,106.4
671.9263,621.773,432.551,-607.438,2248.75,-3351.25,1233.75,-100.32,-156.56,110.96
671.9761,630.252,408.456,-625.067,4532.5,-3937.5,3727.5,-109.44,-152.0,103.36
672.0262,644.343,404.125,-625.738,3587.5,-306.25,4060.0,-110.96,-150.48,106.4
672.0761,648.308,399.245,-626.226,3657.5,1566.25,1548.75,-97.28,-148.96,114.0
672.1261,640.012,410.347,-616.161,-2091.25,1750.0,-1417.5,-98.8,-144.4,118.56
672.1761,634.4,414.434,-614.697,-3377.5,2397.5,-3220.0,-101.84,-147.44,109.44
672.2261,628.239,445.544,-611.83,-7008.75,1986.25,1373.75,-109.44,-145.92,124.64
672.2761,615.185,437.248,-617.747,-7761.25,-245.0,2572.5,-98.8,-135.28,123.12
672.3261,625.494,439.2,-608.292,-8496.25,-1015.0,2467.5,-98.8,-144.4,120.08
672.3761,624.457,426.024,-604.632,-4471.25,-463.75,3298.75,-110.96,-147.44,126.16
672.4261,636.779,417.972,-606.584,-761.25,1120.0,3325.0,-106.4,-135.28,101.84
672.4761,644.038,414.861,-615.368,2213.75,1085.0,2808.75,-104.88,-142.88,112.48
672.5261,636.535,400.099,-616.954,2310.0,945.0,2546.25,-107.92,-153.52,120.08
672.5761,630.374,398.879,-619.638,1610.0,-1102.5,-630.0,-109.44,-139.84,133.76
672.6261,633.302,419.07,-612.379,-1513.75,-1041.25,-2187.5,-103.36,-135.28,139.84
672.6761,635.559,430.782,-613.538,-2668.75,1155.0,918.75,-101.84,-126.16,118.56
672.7262,632.936,415.349,-612.013,-4226.25,2213.75,1627.5,-103.36,-139.84,117.04
672.7761,634.522,411.079,-613.904,131.25,1723.75,-2642.5,-104.88,-141.36,123.12
672.8261,631.289,415.837,-618.54,271.25,813.75,-3246.25,-103.36,-135.28,123.12
672.8761,608.719,422.913,-625.372,2616.25,-2021.25,-7026.25,-100.32,-136.8,124.64
672.9261,616.71,415.959,-632.448,4786.25,778.75,-8268.75,-92.72,-142.88,127.68
672.9761,601.643,428.098,-627.751,3657.5,-796.25,-9380.0,-100.32,-156.56,129.2
673.0261,603.717,444.507,-620.675,-1426.25,3701.25,-1636.25,-107.92,-150.48,133.76
673.0761,657.824,440.969,-607.56,-11725.0,-446.25,953.75,-104.88,-161.12,135.28
673.1261,593.957,411.14,-591.517,-10333.75,3666.25,1365.0,-98.8,-142.88,127.68
673.1761,604.693,417.24,-613.111,-6545.0,8443.75,2240.0,-92.72,-162.64,130.72
673.2261,606.035,428.342,-638.548,-7175.0,-2502.5,8.75,-101.84,-159.6,130.72
673.2761,590.236,423.279,-642.757,-315.0,-271.25,-3508.75,-100.32,-161.12,132.24
673.3261,598.898,443.287,-630.984,1618.75,1058.75,-8102.5,-98.8,-161.12,145.92
673.3761,599.081,458.171,-627.812,953.75,3062.5,-9870.0,-89.68,-158.08,117.04
673.4261,593.713,469.7,-631.716,1583.75,5171.25,-7822.5,-94.24,-165.68,118.56
673.4761,602.314,473.604,-611.281,813.75,10430.0,-848.75,-91.2,-164.16,117.04
673.5261,592.005,470.249,-604.632,175.0,10902.5,2257.5,-85.12,-159.6,118.56
673.5761,597.007,458.598,-610.244,1128.75,13676.25,2152.5,-88.16,-164.16,118.56
673.6261,603.778,460.855,-600.911,1382.5,6492.5,-848.75,-123.12,-158.08,101.84
673.6761,617.625,463.478,-608.109,-3517.5,4550.0,-1837.5,-114.0,-156.56,107.92
673.7261,640.317,465.857,-619.76,-953.75,1680.0,-4567.5,-107.92,-150.48,114.0
673.7761,635.254,500.871,-638.304,1505.0,1452.5,-5993.75,-107.92,-158.08,123.12
673.8261,629.398,488.488,-627.751,-5398.75,840.0,-2091.25,-91.2,-170.24,120.08
673.8761,593.347,433.649,-594.567,840.0,3753.75,4348.75,-92.72,-153.52,106.4
673.9261,600.667,439.566,-597.373,4305.0,6046.25,7131.25,-98.8,-158.08,110.96
673.9761,616.1,448.106,-624.335,1391.25,8925.0,9817.5,-104.88,-155.04,115.52
674.0261,631.655,448.899,-617.869,3447.5,8680.0,3797.5,-97.28,-156.56,110.96
674.0761,635.62,439.749,-606.767,-2546.25,1898.75,-2598.75,-107.92,-159.6,103.36
674.1261,618.052,443.287,-591.09,-2756.25,1592.5,-4882.5,-101.84,-156.56,103.36
674.1761,624.823,449.265,-582.001,-3657.5,4025.0,-2931.25,-91.2,-165.68,117.04
674.2261,639.158,450.912,-583.831,-4270.0,5600.0,-691.25,-92.72,-153.52,110.96
674.2761,640.805,451.888,-589.565,-3018.75,5153.75,280.0,-97.28,-158.08,106.4
674.3261,640.439,464.149,-590.48,-1137.5,4821.25,2493.75,-106.4,-158.08,100.32
674.3761,625.372,452.803,-578.402,-2485.0,6580.0,2905.0,-107.92,-150.48,104.88
674.4261,635.925,445.605,-577.792,945.0,7210.0,910.0,-100.32,-162.64,107.92
674.4761,643.489,453.474,-572.973,-2117.5,5066.25,463.75,-92.72,-153.52,106.4
674.5261,643.184,454.328,-571.143,297.5,4751.25,691.25,-120.08,-164.16,85.12
674.5761,636.657,451.4,-566.934,1093.75,4033.75,-210.0,-110.96,-155.04,107.92
674.6261,638.426,447.13,-570.411,2476.25,2100.0,-1251.25,-107.92,-152.0,118.56
674.6763,643.184,453.413,-585.112,2905.0,726.25,-472.5,-110.96,-148.96,100.32
674.7261,648.003,456.097,-590.114,1198.75,831.25,-402.5,-112.48,-165.68,107.92
674.7762,645.746,455.548,-591.029,638.75,2117.5,-770.0,-112.48,-155.04,98.8
674.8261,639.951,454.511,-588.406,-962.5,1627.5,-1487.5,-98.8,-139.84,104.88
674.8761,634.217,449.997,-583.953,-1855.0,2222.5,-2283.75,-97.28,-147.44,117.04
674.9261,633.912,456.402,-590.358,-1785.0,1767.5,-1356.25,-106.4,-159.6,110.96
674.9761,631.289,455.487,-587.186,-1960.0,1356.25,-1531.25,-106.4,-156.56,101.84
675.0261,633.973,455.487,-589.077,-1155.0,1986.25,-3255.0,-117.04,-148.96,107.92
675.0761,627.995,460.489,-582.672,-1365.0,2625.0,-3675.0,-107.92,-159.6,103.36
675.1261,637.938,463.722,-582.733,1758.75,4112.5,-3255.0,-110.96,-167.2,109.44
675.1761,634.949,457.195,-573.156,-262.5,5223.75,787.5,-112.48,-159.6,95.76
675.2261,638.182,449.875,-577.243,1898.75,4208.75,2721.25,-106.4,-155.04,103.36
675.2761,639.768,446.642,-585.6,3517.5,3010.0,953.75,-107.92,-158.08,101.84
675.3261,638.304,460.977,-590.785,2835.0,3036.25,245.0,-107.92,-159.6,117.04
675.3761,636.413,455.853,-589.321,1942.5,4051.25,-315.0,-112.48,-164.16,98.8
675.4261,637.572,459.086,-584.868,-1338.75,3386.25,-1575.0,-115.52,-158.08,109.44
675.4762,637.328,453.779,-582.245,-1531.25,3797.5,-376.25,-95.76,-153.52,117.04
675.5261,637.572,452.193,-579.012,-848.75,3736.25,332.5,-121.6,-164.16,104.88
675.5761,640.988,451.217,-582.733,1286.25,3036.25,8.75,-104.88,-145.92,106.4
675.6261,640.5,448.533,-580.903,1802.5,3403.75,-463.75,-106.4,-147.44,91.2
675.6761,642.513,453.84,-582.001,1382.5,3045.0,-735.0,-97.28,-150.48,95.76
675.7261,632.936,452.376,-578.707,-673.75,2966.25,560.0,-104.88,-148.96,97.28
675.7761,644.648,444.69,-585.905,1706.25,3508.75,-647.5,-100.32,-162.64,104.88
675.8261,645.685,437.797,-582.245,-892.5,1688.75,-577.5,-110.96,-158.08,112.48
675.8761,634.461,446.581,-580.598,26.25,2283.75,-358.75,-107.92,-148.96,107.92
675.9261,640.195,448.533,-586.027,420.0,1347.5,-831.25,-112.48,-152.0,100.32
675.9761,645.441,452.132,-586.271,350.0,1382.5,-945.0,-114.0,-152.0,100.32
676.0261,637.938,446.093,-587.247,691.25,2047.5,-1758.75,-103.36,-153.52,95.76
676.0761,637.145,449.936,-587.735,525.0,1715.0,-1601.25,-103.36,-161.12,101.84
676.1261,637.572,452.193,-587.369,-577.5,2476.25,-595.0,-101.84,-152.0,110.96
676.1761,635.01,447.618,-585.6,-577.5,2546.25,-1041.25,-112.48,-155.04,110.96
676.2261,633.363,450.668,-587.796,236.25,2651.25,-1575.0,-112.48,-147.44,112.48
676.2761,636.535,454.755,-585.966,-148.75,2502.5,-148.75,-101.84,-155.04,103.36
676.3261,640.561,448.594,-588.162,78.75,3115.0,726.25,-104.88,-155.04,120.08
676.3761,633.668,450.546,-584.746,-148.75,3106.25,183.75,-89.68,-159.6,107.92
676.4261,640.866,462.197,-590.297,1120.0,4672.5,-1181.25,-117.04,-155.04,106.4
676.4761,640.134,444.446,-586.454,-1470.0,2555.0,-175.0,-118.56,-158.08,92.72
676.5261,635.376,446.52,-584.929,157.5,2940.0,43.75,-101.84,-147.44,114.0
676.5761,639.524,446.703,-584.075,980.0,2073.75,-1610.0,-114.0,-159.6,110.96
676.6261,641.781,457.073,-589.87,936.25,2476.25,-1741.25,-114.0,-153.52,97.28
676.6761,631.594,452.437,-588.833,612.5,3097.5,-901.25,-106.4,-153.52,101.84
676.7261,639.829,443.348,-591.761,-78.75,4138.75,-866.25,-89.68,-150.48,114.0
676.7761,648.003,444.019,-586.942,1277.5,5888.75,-1828.75,-103.36,-150.48,114.0
676.8261,630.679,450.79,-583.953,796.25,3762.5,-3867.5,-106.4,-152.0,106.4
676.8761,629.642,463.295,-580.598,-848.75,8.75,-2922.5,-114.0,-150.48,106.4
676.9261,638.67,457.927,-586.759,-1916.25,2721.25,980.0,-103.36,-162.64,106.4
676.9761,649.284,443.165,-584.38,-78.75,5425.0,1986.25,-98.8,-162.64,100.32
677.0261,634.278,440.42,-581.025,3062.5,4252.5,-1863.75,-117.04,-153.52,89.68
677.0761,641.476,467.321,-582.062,2887.5,4392.5,-2607.5,-114.0,-148.96,94.24
677.1261,626.836,448.838,-580.659,-1881.25,-796.25,-113.75,-110.96,-161.12,101.84
